Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,107,4,Some Random Commen with Id 0
1,0,8,88,3,Some Random Commen with Id 1
2,0,8,128,9,Some Random Commen with Id 2
3,0,8,39,1,Some Random Commen with Id 3
4,0,8,9,4,Some Random Commen with Id 4
5,0,8,103,5,Some Random Commen with Id 5
6,1,9,52,8,Some Random Commen with Id 6
7,1,9,126,7,Some Random Commen with Id 7
8,1,9,2,2,Some Random Commen with Id 8
9,1,9,26,5,Some Random Commen with Id 9
10,1,9,63,2,Some Random Commen with Id 10
11,1,9,22,0,Some Random Commen with Id 11
12,1,9,196,2,Some Random Commen with Id 12
13,2,7,153,9,Some Random Commen with Id 13
14,2,7,46,3,Some Random Commen with Id 14
15,2,7,184,1,Some Random Commen with Id 15
16,2,7,116,8,Some Random Commen with Id 16
17,3,9,80,1,Some Random Commen with Id 17
18,3,9,101,6,Some Random Commen with Id 18
19,3,9,58,6,Some Random Commen with Id 19
20,3,9,23,0,Some Random Commen with Id 20
21,3,9,133,1,Some Random Commen with Id 21
22,3,9,60,0,Some Random Commen with Id 22
23,4,3,139,2,Some Random Commen with Id 23
24,4,3,80,8,Some Random Commen with Id 24
25,4,3,8,3,Some Random Commen with Id 25
26,4,3,144,1,Some Random Commen with Id 26
27,4,3,170,7,Some Random Commen with Id 27
28,4,3,41,2,Some Random Commen with Id 28
29,5,0,116,3,Some Random Commen with Id 29
30,5,0,1,3,Some Random Commen with Id 30
31,5,0,15,3,Some Random Commen with Id 31
32,5,0,88,6,Some Random Commen with Id 32
33,5,0,164,0,Some Random Commen with Id 33
34,5,0,79,5,Some Random Commen with Id 34
35,5,0,173,6,Some Random Commen with Id 35
36,5,0,124,6,Some Random Commen with Id 36
37,6,6,143,5,Some Random Commen with Id 37
38,6,6,37,4,Some Random Commen with Id 38
39,8,5,91,3,Some Random Commen with Id 39
40,8,5,111,3,Some Random Commen with Id 40
41,9,9,180,2,Some Random Commen with Id 41
42,9,9,25,7,Some Random Commen with Id 42
43,10,7,21,7,Some Random Commen with Id 43
44,10,7,134,3,Some Random Commen with Id 44
45,10,7,34,4,Some Random Commen with Id 45
